product,Calories,Fat Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Carbohydrates,Fiber,Sugars,Protein,menu_item,Fast Food Chain
Candy Cane Chill Blizzard  Mini,350,100,11,8,0,30,110,57,0,48,8,Limited Time,Dairy Queen
Candy Cane Chill Blizzard  Small,600,170,19,13,0.5,50,180,99,1,83,12,Limited Time,Dairy Queen
Candy Cane Chill Blizzard  Medium,820,230,25,18,1,65,230,135,1,113,16,Limited Time,Dairy Queen
Candy Cane Chill Blizzard  Large,1080,300,33,23,1,85,300,178,2,149,21,Limited Time,Dairy Queen
Holiday Frosted Sugar Cookie Blizzard  Mini,390,150,16,8,0,35,160,53,0,42,8,Limited Time,Dairy Queen
Holiday Frosted Sugar Cookie Blizzard  Small,690,270,30,14,1,55,290,94,0,74,13,Limited Time,Dairy Queen
Holiday Frosted Sugar Cookie Blizzard  Medium,950,380,42,18,1,75,390,128,1,100,17,Limited Time,Dairy Queen
Holiday Frosted Sugar Cookie Blizzard  Large,1240,500,55,24,1.5,95,510,165,1,129,21,Limited Time,Dairy Queen
Caramel Fudge Cheesecake Blizzard  Large,1240,430,47,30,1.5,145,620,180,1,143,24,Limited Time,Dairy Queen
Caramel Fudge Cheesecake Blizzard  Medium,930,320,36,23,1.5,110,470,134,1,107,18,Limited Time,Dairy Queen
Caramel Fudge Cheesecake Blizzard  Mini,370,130,14,9,0.5,45,180,54,0,43,8,Limited Time,Dairy Queen
Caramel Fudge Cheesecake Blizzard  Small,660,230,26,17,1,80,330,94,1,76,14,Limited Time,Dairy Queen
Choco Dipped Strawberry Blizzard  Large,910,290,32,22,1,80,310,140,3,120,20,Limited Time,Dairy Queen
Choco Dipped Strawberry Blizzard  Medium,720,230,25,18,1,65,250,110,2,94,16,Limited Time,Dairy Queen
Choco Dipped Strawberry Blizzard  Mini,310,100,11,7,0,30,110,46,1,39,7,Limited Time,Dairy Queen
Choco Dipped Strawberry Blizzard  Small,520,170,19,13,0.5,50,180,79,1,67,12,Limited Time,Dairy Queen
Heath Caramel Brownie Cupfection,760,260,29,14,0.5,65,390,117,2,90,11,Limited Time,Dairy Queen
OREO Hot Cocoa Blizzard  Large,1390,540,60,28,1.5,80,680,195,4,150,24,Limited Time,Dairy Queen
OREO Hot Cocoa Blizzard  Medium,1050,410,45,22,1.5,65,500,147,2,113,19,Limited Time,Dairy Queen
OREO Hot Cocoa Blizzard  Mini,470,190,21,11,0.5,30,210,63,1,50,8,Limited Time,Dairy Queen
OREO Hot Cocoa Blizzard  Small,800,320,35,17,1,50,380,111,2,86,14,Limited Time,Dairy Queen
Pineapple Sunrise Julius Original  Large,1020,5,0,0,0,0,130,253,3,243,2,Limited Time,Dairy Queen
Pineapple Sunrise Julius Original  Medium,720,0,0,0,0,0,95,179,2,172,1,Limited Time,Dairy Queen
Pineapple Sunrise Julius Original  Small,520,0,0,0,0,0,70,128,2,123,0,Limited Time,Dairy Queen
Pineapple Sunrise PFS  Extra Large,760,5,0,0,0,0,240,178,2,170,10,Limited Time,Dairy Queen
Pineapple Sunrise PFS  Large,560,5,0,0,0,0,190,132,2,126,8,Limited Time,Dairy Queen
Pineapple Sunrise PFS  Medium,430,0,0,0,0,0,140,102,1,97,6,Limited Time,Dairy Queen
Pineapple Sunrise PFS  Small,320,0,0,0,0,0,95,77,1,73,4,Limited Time,Dairy Queen
Reeses Peanut Butter Cups Pie Blizzard  Medium,1120,500,56,25,1.5,65,580,137,3,112,22,Limited Time,Dairy Queen
Reeses Peanut Butter Cups Pie Blizzard  Small,820,360,40,19,1,50,410,100,2,83,16,Limited Time,Dairy Queen
Reeses Peanut Butter Cups Pie Blizzard Mini,470,210,24,12,0.5,30,230,57,1,48,9,Limited Time,Dairy Queen
Reeses Peanut Butter Cups Pie Blizzard  Large,1440,650,72,31,1.5,85,760,177,4,145,29,Limited Time,Dairy Queen
Royal Reeses Fluffernutter Blizzard  Large,1420,590,66,25,1,80,810,182,5,149,31,Limited Time,Dairy Queen
Royal Reeses Fluffernutter Blizzard  Medium,1100,430,48,19,1,65,600,147,3,121,24,Limited Time,Dairy Queen
Royal Reeses Fluffernutter Blizzard  Mini,450,150,17,7,0,30,220,67,1,56,9,Limited Time,Dairy Queen
Royal Reeses Fluffernutter Blizzard  Small,750,280,31,13,0.5,50,390,104,2,87,17,Limited Time,Dairy Queen
Snickerdoodle Cookie Dough Blizzard  Large,1340,510,56,25,1.5,90,610,187,4,136,24,Limited Time,Dairy Queen
Snickerdoodle Cookie Dough Blizzard  Medium,1020,380,43,19,1,70,460,142,3,103,18,Limited Time,Dairy Queen
Snickerdoodle Cookie Dough Blizzard  Mini,410,150,17,8,0.5,30,180,58,1,43,8,Limited Time,Dairy Queen
Snickerdoodle Cookie Dough Blizzard  Small,730,270,30,14,1,55,330,103,2,76,14,Limited Time,Dairy Queen
White Mocha Shake  Large,850,260,29,19,1.5,75,330,126,0,110,22,Limited Time,Dairy Queen
White Mocha Shake  Medium,620,200,22,15,1,55,240,90,0,79,16,Limited Time,Dairy Queen
White Mocha Shake  Small,500,170,19,13,1,45,190,71,0,62,13,Limited Time,Dairy Queen
Backyard Bacon Ranch Burger  Double,820,460,51,19,2,130,1900,53,2,15,38,Signature Stackburgers,Dairy Queen
Backyard Bacon Ranch Burger  Triple,1020,600,67,27,2.5,180,2310,54,2,15,50,Signature Stackburgers,Dairy Queen
Bacon Two Cheese Deluxe Burger  Double,720,420,47,19,2,130,1890,39,2,9,37,Signature Stackburgers,Dairy Queen
Bacon Two Cheese Deluxe Burger  Triple,920,560,63,26,2.5,180,2300,40,2,9,49,Signature Stackburgers,Dairy Queen
FlameThrower Burger  Double,720,440,49,19,2,125,1430,37,2,7,34,Signature Stackburgers,Dairy Queen
FlameThrower Burger  Triple,910,580,65,27,2.5,170,1820,38,2,7,46,Signature Stackburgers,Dairy Queen
Hamburger,320,120,13,5,0.5,35,870,36,1,7,15,Signature Stackburgers,Dairy Queen
Hamburger  Double,460,220,25,10,1.5,70,1030,36,1,7,24,Signature Stackburgers,Dairy Queen
Hamburger  Triple,610,330,37,15,2,110,1190,36,1,7,33,Signature Stackburgers,Dairy Queen
Original Cheeseburger  Double,570,300,34,15,1.5,100,1530,38,1,8,29,Signature Stackburgers,Dairy Queen
Original Cheeseburger  Single,370,160,18,8,1,50,1120,37,1,8,17,Signature Stackburgers,Dairy Queen
Original Cheeseburger Triple,760,450,50,23,2.5,150,1940,39,1,9,40,Signature Stackburgers,Dairy Queen
Two Cheese Deluxe Burger  Double,620,350,39,16,2,105,1510,39,2,9,29,Signature Stackburgers,Dairy Queen
Two Cheese Deluxe Burger  Triple,820,500,55,24,2.5,155,1930,40,2,9,41,Signature Stackburgers,Dairy Queen
Chicken Strip Basket  6 pc,1300,550,61,11,0,85,2750,139,8,5,48,Chicken  Salads,Dairy Queen
Chicken Strips  3 pc,430,180,20,3.5,0,45,950,41,2,2,19,Chicken  Salads,Dairy Queen
Original Chicken Strip Sandwich,550,240,26,4.5,0,40,990,62,3,6,18,Chicken  Salads,Dairy Queen
Sauced  Tossed Honey BBQ Chicken Strip Basket  4 Piece,1140,430,48,8,0,60,2640,142,7,32,35,Chicken  Salads,Dairy Queen
Sauced  Tossed Honey BBQ Chicken Strip Basket  6 Piece,1480,550,61,11,0,85,3570,186,9,48,49,Chicken  Salads,Dairy Queen
Side Salad,20,0,0,0,0,0,10,4,1,3,1,Chicken  Salads,Dairy Queen
Spicy Chicken Strip Sandwich,530,200,23,4,0,40,1060,63,3,8,18,Chicken  Salads,Dairy Queen
Cheese Dog,390,220,24,10,1,50,1000,27,1,3,16,Hot Dogs,Dairy Queen
