product,product-id,link,Calories,Calories From Fat,Energy kJ,Protein,Carbohydrates,Dietary Fiber 2015,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Vitamin B6,Vitamin D,Calcium,Iron,Phosphorus,Potassium,Sodium,Caffeine,Dietary Fiber,menu_item,Fast Food Chain
Big Mac,200463,/us/en-us/product/big-mac.html,590,310,2480,25,46,3,9,7,34,11,1,85,0,0,120,4.5,0,390,1050,0,3,Burgers,McDonalds
Quarter Pounder with Cheese,200466,/us/en-us/product/quarter-pounder-with-cheese.html,520,230,2170,30,42,2,10,8,26,12,1.5,95,0,0,190,4,2,420,1140,0,,Burgers,McDonalds
Double Quarter Pounder with Cheese,200476,/us/en-us/product/double-quarter-pounder-with-cheese.html,740,380,3090,48,43,2,10,8,42,20,2.5,165,0,0,200,6,2,660,1360,0,,Burgers,McDonalds
Quarter Pounder with Cheese Deluxe,200765,/us/en-us/product/deluxe-quarter-pounder-with-cheese.html,630,330,2620,30,44,3,11,8,37,14,1.5,105,0,0,200,4.5,2,500,1210,0,,Burgers,McDonalds
McDouble,200491,/us/en-us/product/mcdouble.html,400,180,1660,22,33,2,7,5,20,9,1,70,0,0,100,3.5,0,330,920,0,2,Burgers,McDonalds
Quarter Pounder with Cheese Bacon,203410,/us/en-us/product/quarter-pounder-bacon.html,630,310,2620,36,43,3,10,8,35,15,1.5,115,0,0,190,4.5,2,490,1470,0,,Burgers,McDonalds
Cheeseburger,200480,/us/en-us/product/cheeseburger.html,300,110,1270,15,32,2,7,5,13,6,0.5,40,0,0,100,3,0,220,720,0,2,Burgers,McDonalds
Double Cheeseburger,200486,/us/en-us/product/double-cheeseburger.html,450,210,1870,25,34,2,7,5,24,11,1.5,85,0,0,180,3.5,0,350,1120,0,2,Burgers,McDonalds
Hamburger The Classic McDonalds Burger,200477,/us/en-us/product/hamburger.html,250,80,1060,12,31,1,6,5,9,3.5,0,30,0,0,20,3,0,200,510,0,1,Burgers,McDonalds
McFlurry with OREO Cookies,200101,/us/en-us/product/mcflurry-with-oreo-cookies.html,510,140,2150,12,80,1,60,48,16,8,0.5,40,0,0,380,1.5,0,540,260,0,,Sweets Treats,McDonalds
McFlurry with MMS Candies,200096,/us/en-us/product/mm-candy-mcflurry.html,640,190,2660,13,96,2,83,69,21,14,0.5,45,0,0,440,0.5,0,670,200,0,,Sweets Treats,McDonalds
Vanilla Cone,200062,/us/en-us/product/vanilla-cone.html,200,45,840,5,33,0,23,17,5,3,0,20,0,0,180,0.5,0,240,80,0,,Sweets Treats,McDonalds
Chocolate Shake,200107,/us/en-us/product/chocolate-shake-small.html,520,130,2190,12,85,1,67,54,14,9,0.5,55,0,0,400,0.5,0,640,250,0,,Sweets Treats,McDonalds
Vanilla Shake,200108,/us/en-us/product/vanilla-shake-small.html,480,110,2000,10,80,0,51,40,13,8,0.5,50,0,0,340,0,0,460,210,0,,Sweets Treats,McDonalds
Strawberry Shake,200109,/us/en-us/product/strawberry-shake-small.html,470,120,1980,10,77,0,58,46,13,8,0.5,50,0,0,350,0,0,500,160,0,,Sweets Treats,McDonalds
Hot Fudge Sundae,200074,/us/en-us/product/hot-fudge-sundae.html,330,90,1360,8,51,2,44,36,10,7,0,25,0,0,260,0.5,0,420,170,0,,Sweets Treats,McDonalds
Hot Caramel Sundae,200081,/us/en-us/product/hot-caramel-sundae.html,330,70,1380,7,58,0,41,34,7,4.5,0,30,0,0,240,0,0,320,150,0,,Sweets Treats,McDonalds
